chunk_id,url,title,text
0_0,https://data.gov/blog/open-data-agriculture-offers-lift-global-food-security/,Open Data for Agriculture Offers Lift-Off for Global Food Security - Data.gov,"Open Data for Agriculture Offers Lift-Off for Global Food Security Posted by Dr. Catherine Woteki, USDAâ€™s Chief Scientist and Under Secretary for Research, Education and Economics , on April 29, 2013 at 2:45 PM. The opening day of theG-8 International Conference on Open Data for Agriculturewas action-packed and inspiring. From the moment the doors opened at 7:30 am, the air was punctuated with the sound of languages from across the globe. Scientists, policy makers, and leaders from the non-profit and development community all shared a day of discovery and connection around the unlimited opportunity in open data for agriculture. Secretary Vilsack kicked off the proceedings with a speech that focused the day. â€œData is quickly becoming one of the most important commodities in agriculture,â€ he told the attendees, and encouraged the sharing of data to magnify its power. He also compared the digital revolution fueled by open data to the industrial revolution, in that data sharing has the same potential to accelerate development of new tools that will bolster the productivity of farmers around the world. As head of the U.S. delegation, he announced the launch of the federal governmentâ€™s contribution to these efforts: the Food, Agriculture and Rural data community, which offers a catalog of over 300 data sets as well as numerous apps, tools and statistical products. The community can be found on www.data.gov . The community will provide a one-stop shop where the public can come to access all the available data relevant to agriculture and have come from federal research and investments. The community was launched in hopes that farmers, researchers, data analysts, businesses and governments will use it to locate, download and utilize food, agriculture and rural data to address serious social, economic and environmental concerns. The Secretary was followed by Bill Gates, who addressed the conference via a short video presentation. Gates emphasized the importance of open data to entrepreneurship and innovation. Other speakers included U.S. Chief Technology Officer Todd Park and Vice President of the World Bank Dr. Rachel Kyte. Then the day took off with â€œlightning presentationsâ€ of apps already created using open data, and already working for farmers, scientists and policymakers. Other announcements made by dayâ€™s end from our G-8 partners and others include a commitment from the African Orphan Crop consortium to share genetic sequences of neglected crops important to food security in Africa, and new data releases from the International Food Policy Research Institute, and the International Center for Tropical Agriculture with the Consultative Group on International Agriculture Research. I hope youâ€™ll join us tomorrow at the conference, which will be live-streamed at here and follow us on Twitter, #OpenAgData. To read Secretary Vilsackâ€™s speech click here . To learn more about Open Data click here . Photos for the event can be found here . data.gov An official website of the GSA's Technology Transformation Services"
1_0,https://data.gov/energy/apis-from-eia/,APIs from the Energy Information Administration - Data.gov,"APIs from the Energy Information Administration The Energy Information Administration collects statistics on energy generation, distribution and consumption in the United States. Their new APIs provide developers easy access to EIAâ€™s extensive data on electricity, petroleum, natural gas, and more. data.gov An official website of the GSA's Technology Transformation Services"
2_0,https://data.gov/food/join-the-data-revolution/,Join the â€˜Data Revolutionâ€™ - Data.gov,"Join the â€˜Data Revolutionâ€™ USDA Blog: Join the â€˜Data Revolutionâ€™, Help Lay the Groundwork for Sustainable Ag http://ow.ly/mppYn # OpenData # OpenAgData data.gov An official website of the GSA's Technology Transformation Services"
3_0,https://data.gov/food/open-ag-data/,Open Ag Data - Data.gov,Open Ag Data Miss the # OpenAgData conference this week? Want a recap of announcements? Check out our summary page http://go.usa.gov/TPUT data.gov An official website of the GSA's Technology Transformation Services
4_0,https://data.gov/climate/arctic-framing-questions/,Arctic Framing Questions - Data.gov,"Arctic Framing Questions Understand changes in Arctic Ocean chemistry, as well as historical and projected changes in sea ice extent and the impacts of these changes on coastal communities. Understand the changing trends of melting glaciers, snow, and ice and the resulting impacts on hydrologic systems. Identify changing patterns of Arctic weather and extreme events. Identify the impacts of thawing permafrost on Arctic vegetation, hydrology, and wildfire extent and frequency. Understand and plan for the impacts of a changing Arctic on resource development, transportation, and infrastructure. Help resource managers become more resilient to the impacts of climate change on Arctic ecosystems, communities, and cultures. Understand how current and changing conditions, (e.g., sea-ice retreat, methane emissions, polar vortex, etc. ), in the Arctic affect the rest of the world, as well as how the rest of the world impacts the Arctic (e.g., changing transportation patterns, changing weather patterns, air pollution, etc.). Understand changes in Arctic Ocean chemistry, as well as historical and projected changes in sea ice extent and the impacts of these changes on coastal communities. Understand the changing trends of melting glaciers, snow, and ice and the resulting impacts on hydrologic systems. Identify changing patterns of Arctic weather and extreme events. Identify the impacts of thawing permafrost on Arctic vegetation, hydrology, and wildfire extent and frequency. Understand and plan for the impacts of a changing Arctic on resource development, transportation, and infrastructure. Help resource managers become more resilient to the impacts of climate change on Arctic ecosystems, communities, and cultures. Understand how current and changing conditions, (e.g., sea-ice retreat, methane emissions, polar vortex, etc. ), in the Arctic affect the rest of the world, as well as how the rest of the world impacts the Arctic (e.g., changing transportation patterns, changing weather patterns, air pollution, etc.). data.gov An official website of the GSA's Technology Transformation Services"
5_0,https://data.gov/ocean/marinecadastre-gov/,MarineCadastre.gov - Data.gov,"MarineCadastre.gov MarineCadastre.gov is a joint Bureau of Ocean Energy Management (BOEM) and National Oceanic and Atmospheric Administration (NOAA) initiative that provides authoritative data to meet the needs of the offshore energy and marine planning communities. The website provides access to authoritative data from multiple agencies, including offshore boundaries and physical, biological, ocean use, and cultural information. Users can create, view, and print maps from this free, easy-to-use viewer, or can directly link to the web map services through their own GIS applications. data.gov An official website of the GSA's Technology Transformation Services"
6_0,https://data.gov/food/agricultural-productivity-in-the-united-states/,Agricultural Productivity in the United States - Data.gov,"Agricultural Productivity in the United States Increased productivity is the main contributor to growth in U.S. agriculture. This data set provides estimates of productivity growth in the U.S. farm sector over the period 1948-2008, and estimates of the growth and relative levels of productivity across the individual States for the 1960-2004 period. data.gov An official website of the GSA's Technology Transformation Services"
7_0,https://data.gov/food/food-and-nutrition-service/,Food and Nutrition Service - Data.gov,"Food and Nutrition Service SNAP Retailer Locator API provides location, details and directions for retailers that welcome SNAP Electronic Benefit Transfer (EBT) customers. data.gov An official website of the GSA's Technology Transformation Services"
8_0,https://data.gov/food/nass-quickstats/,National Agriculture Statistics Service QuickStats - Data.gov,"National Agriculture Statistics Service QuickStats Official aggregate estimates related to U.S. agricultural production. National Agriculture Statistics Service (NASS) develops these estimates from data collected through hundreds of sample surveys conducted each year covering virtually every aspect of U.S. agriculture and the Census of Agriculture conducted every five years providing state- and county-level aggregates. QuickStats is available as an online database , or you can use the newly released API to access the data programmatically. data.gov An official website of the GSA's Technology Transformation Services"
9_0,https://data.gov/food/ers-2/,ERS Food Access Research Atlas API - Data.gov,"ERS Food Access Research Atlas API Food access indicators for census tracts using 12-mile and 1-mile demarcations to the nearest supermarket for urban areas, 10-mile and 20-mile demarcations to the nearest supermarket for rural areas, and vehicle availability for all tracts are estimated and mapped. data.gov An official website of the GSA's Technology Transformation Services"
